            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461135.047596123, A.D. 2026-Apr-04 13:08:32.3050, -2.954207365041301E+05, -2.693190770049292E+05, -3.254431928358581E+04,  6.421238369138269E-01, -7.428408829720060E-01, -4.063012738363919E-02,
2461135.054540567, A.D. 2026-Apr-04 13:18:32.3050, -2.950351349974907E+05, -2.697644781696136E+05, -3.256866048620346E+04,  6.432142546542171E-01, -7.418294074898294E-01, -4.050720201775304E-02,
2461135.061485012, A.D. 2026-Apr-04 13:28:32.3050, -2.946488797153987E+05, -2.702092719839803E+05, -3.259292791084546E+04,  6.443030881267420E-01, -7.408163823242021E-01, -4.038420084370858E-02,
2461135.068429456, A.D. 2026-Apr-04 13:38:32.3050, -2.942619716089473E+05, -2.706534575189596E+05, -3.261712151210879E+04,  6.453903355563538E-01, -7.398018099433392E-01, -4.026112413417982E-02,
2461135.075373901, A.D. 2026-Apr-04 13:48:32.3050, -2.938744116302938E+05, -2.710970338469631E+05, -3.264124124475391E+04,  6.464759951719353E-01, -7.387856928164038E-01, -4.013797216178433E-02,
2461135.082318345, A.D. 2026-Apr-04 13:58:32.3050, -2.934862007326572E+05, -2.715400000418841E+05, -3.266528706370486E+04,  6.475600652062964E-01, -7.377680334135012E-01, -4.001474519908227E-02,
2461135.089262790, A.D. 2026-Apr-04 14:08:32.3050, -2.930973398703152E+05, -2.719823551790983E+05, -3.268925892404924E+04,  6.486425438961686E-01, -7.367488342056705E-01, -3.989144351857654E-02,
2461135.096207234, A.D. 2026-Apr-04 14:18:32.3050, -2.927078299986026E+05, -2.724240983354643E+05, -3.271315678103809E+04,  6.497234294822023E-01, -7.357280976648802E-01, -3.976806739271188E-02,
2461135.103151678, A.D. 2026-Apr-04 14:28:32.3050, -2.923176720739084E+05, -2.728652285893242E+05, -3.273698059008594E+04,  6.508027202089620E-01, -7.347058262640189E-01, -3.964461709387446E-02,
2461135.110096123, A.D. 2026-Apr-04 14:38:32.3050, -2.919268670536740E+05, -2.733057450205039E+05, -3.276073030677062E+04,  6.518804143249216E-01, -7.336820224768907E-01, -3.952109289439171E-02,
2461135.117040567, A.D. 2026-Apr-04 14:48:32.3050, -2.915354158963903E+05, -2.737456467103141E+05, -3.278440588683350E+04,  6.529565100824611E-01, -7.326566887782073E-01, -3.939749506653190E-02,
2461135.123985012, A.D. 2026-Apr-04 14:58:32.3050, -2.911433195615955E+05, -2.741849327415505E+05, -3.280800728617921E+04,  6.540310057378615E-01, -7.316298276435818E-01, -3.927382388250300E-02,
2461135.130929456, A.D. 2026-Apr-04 15:08:32.3050, -2.907505790098733E+05, -2.746236021984945E+05, -3.283153446087572E+04,  6.551038995513009E-01, -7.306014415495217E-01, -3.915007961445355E-02,
2461135.137873901, A.D. 2026-Apr-04 15:18:32.3050, -2.903571952028496E+05, -2.750616541669135E+05, -3.285498736715420E+04,  6.561751897868507E-01, -7.295715329734229E-01, -3.902626253447122E-02,
2461135.144818345, A.D. 2026-Apr-04 15:28:32.3050, -2.899631691031910E+05, -2.754990877340619E+05, -3.287836596140910E+04,  6.572448747124705E-01, -7.285401043935631E-01, -3.890237291458215E-02,
2461135.151762790, A.D. 2026-Apr-04 15:38:32.3050, -2.895685016746022E+05, -2.759359019886809E+05, -3.290167020019810E+04,  6.583129526000038E-01, -7.275071582890941E-01, -3.877841102675184E-02,
2461135.158707234, A.D. 2026-Apr-04 15:48:32.3050, -2.891731938818236E+05, -2.763720960209998E+05, -3.292490004024198E+04,  6.593794217251746E-01, -7.264726971400366E-01, -3.865437714288378E-02,
2461135.165651678, A.D. 2026-Apr-04 15:58:32.3050, -2.887772466906286E+05, -2.768076689227362E+05, -3.294805543842469E+04,  6.604442803675824E-01, -7.254367234272728E-01, -3.853027153481875E-02,
2461135.172596123, A.D. 2026-Apr-04 16:08:32.3050, -2.883806610678223E+05, -2.772426197870962E+05, -3.297113635179331E+04,  6.615075268106979E-01, -7.243992396325410E-01, -3.840609447433529E-02,
2461135.179540567, A.D. 2026-Apr-04 16:18:32.3050, -2.879834379812382E+05, -2.776769477087753E+05, -3.299414273755775E+04,  6.625691593418587E-01, -7.233602482384276E-01, -3.828184623314862E-02,
2461135.186485012, A.D. 2026-Apr-04 16:28:32.3050, -2.875855783997363E+05, -2.781106517839591E+05, -3.301707455309127E+04,  6.636291762522649E-01, -7.223197517283619E-01, -3.815752708291087E-02,
2461135.193429456, A.D. 2026-Apr-04 16:38:32.3050, -2.871870832932006E+05, -2.785437311103230E+05, -3.303993175592976E+04,  6.646875758369748E-01, -7.212777525866088E-01, -3.803313729520974E-02,
2461135.200373901, A.D. 2026-Apr-04 16:48:32.3050, -2.867879536325373E+05, -2.789761847870337E+05, -3.306271430377231E+04,  6.657443563949011E-01, -7.202342532982632E-01, -3.790867714156926E-02,
2461135.207318345, A.D. 2026-Apr-04 16:58:32.3050, -2.863881903896716E+05, -2.794080119147488E+05, -3.308542215448077E+04,  6.667995162288050E-01, -7.191892563492426E-01, -3.778414689344822E-02,
2461135.214262790, A.D. 2026-Apr-04 17:08:32.3050, -2.859877945375462E+05, -2.798392115956180E+05, -3.310805526607981E+04,  6.678530536452931E-01, -7.181427642262828E-01, -3.765954682224043E-02,
2461135.221207234, A.D. 2026-Apr-04 17:18:32.3050, -2.855867670501187E+05, -2.802697829332831E+05, -3.313061359675712E+04,  6.689049669548127E-01, -7.170947794169281E-01, -3.753487719927462E-02,
2461135.228151678, A.D. 2026-Apr-04 17:28:32.3050, -2.851851089023590E+05, -2.806997250328787E+05, -3.315309710486287E+04,  6.699552544716471E-01, -7.160453044095286E-01, -3.741013829581324E-02,
2461135.235096123, A.D. 2026-Apr-04 17:38:32.3050, -2.847828210702476E+05, -2.811290370010327E+05, -3.317550574891022E+04,  6.710039145139113E-01, -7.149943416932319E-01, -3.728533038305271E-02,
2461135.242040567, A.D. 2026-Apr-04 17:48:32.3050, -2.843799045307729E+05, -2.815577179458668E+05, -3.319783948757491E+04,  6.720509454035474E-01, -7.139418937579768E-01, -3.716045373212262E-02,
2461135.248985012, A.D. 2026-Apr-04 17:58:32.3050, -2.839763602619288E+05, -2.819857669769966E+05, -3.322009827969536E+04,  6.730963454663205E-01, -7.128879630944884E-01, -3.703550861408561E-02,
2461135.255929456, A.D. 2026-Apr-04 18:08:32.3050, -2.835721892427127E+05, -2.824131832055328E+05, -3.324228208427258E+04,  6.741401130318140E-01, -7.118325521942698E-01, -3.691049529993706E-02,
